name,basePrice,daysToExpiry
Pork - Sausage Casing,$18.66,28
French Pastries,$25.34,10
"Cup - 3.5oz, Foam",$26.31,26
Beer - Pilsner Urquell,$29.20,17
Wine - Penfolds Koonuga Hill,$14.00,5
Muffin - Mix - Strawberry Rhubarb,$28.09,8
Wine - Coteaux Du Tricastin Ac,$28.70,9
Leeks - Large,$20.48,10
"Sauce - Gravy, Au Jus, Mix",$18.79,1
Brandy Cherry - Mcguinness,$7.33,18
Lettuce - Romaine,$8.70,12
"Salmon - Smoked, Sliced",$11.49,17
Chocolate - Milk,$2.25,29
Sauce - Salsa,$12.96,10
Fond - Neutral,$17.16,27
Compound - Pear,$17.77,1
Versatainer Nc - 8288,$12.77,23
Pop Shoppe Cream Soda,$19.29,7
Sausage - Meat,$10.01,22
Lettuce - Romaine,$9.76,6
Hagen Daza - Dk Choocolate,$7.52,11
Bread Base - Goodhearth,$29.00,23
"Pasta - Fettuccine, Dry",$21.61,8
Beer - Rickards Red,$7.00,17
Flower - Carnations,$27.17,14
Table Cloth 62x114 White,$11.38,13
Nori Sea Weed - Gold Label,$29.32,1
Pasta - Orecchiette,$9.78,7
Wine - Tribal Sauvignon,$29.35,12
Lettuce - Sea / Sea Asparagus,$15.59,25
Gelatine Powder,$24.84,7
"Soup - Campbells, Cream Of",$11.69,2
Muffin Batt - Choc Chk,$4.14,27
Chicken - Whole,$11.59,10
Scallops - 20/30,$28.33,5
Steel Wool S.o.s,$9.27,24
Filling - Mince Meat,$11.91,19
Mortadella,$4.83,6
Sobe - Orange Carrot,$18.64,2
Munchies Honey Sweet Trail Mix,$20.47,26
Sterno - Chafing Dish Fuel,$2.86,17
Table Cloth 54x54 White,$11.26,6
Chinese Foods - Cantonese,$7.67,8
Lime Cordial - Roses,$3.40,28
Coffee Caramel Biscotti,$25.69,30
"Mushroom - Enoki, Dry",$24.08,17
"Wine - Magnotta - Red, Baco",$9.99,16
Pail With Metal Handle 16l White,$3.80,20
Muffin Mix - Banana Nut,$17.27,18
Shrimp - 150 - 250,$9.99,1
Beans - French,$18.34,27
Peas - Frozen,$17.43,26
Iced Tea Concentrate,$28.05,7
Pastry - Mini French Pastries,$22.26,6
Lettuce - Green Leaf,$9.08,30
Shrimp - Black Tiger 8 - 12,$4.55,10
Tomatillo,$5.22,2
"Pepsi - Diet, 355 Ml",$21.77,30
"Pasta - Lasagne, Fresh",$2.85,31
Beef Ground Medium,$13.67,29
"Nut - Chestnuts, Whole",$8.79,24
"Lemonade - Kiwi, 591 Ml",$27.40,27
"Juice - Tomato, 10 Oz",$6.76,24
Bacon Strip Precooked,$26.68,8
Jolt Cola - Red Eye,$10.09,12
Kellogs Special K Cereal,$17.07,26
Wine - Chenin Blanc K.w.v.,$15.37,26
Miso Paste White,$11.42,18
"Tomatoes - Vine Ripe, Yellow",$20.81,4
Muffin Hinge 117n,$16.02,20
Wine - Winzer Krems Gruner,$3.92,24
Cheese - Brick With Onion,$4.04,9
Carrots - Jumbo,$24.50,28
Tea - Apple Green Tea,$9.56,18
Cheese - Bocconcini,$20.74,17
"Chicken - Breast, 5 - 7 Oz",$2.70,3
"Beef - Cooked, Corned",$11.10,1
"Beans - Turtle, Black, Dry",$4.59,14
"Artichoke - Bottom, Canned",$11.57,3
Beer - Pilsner Urquell,$24.24,13
Bread Fig And Almond,$29.15,3
Bread - Focaccia Quarter,$5.78,16
Cheese - Swiss,$13.43,18
Cake - Lemon Chiffon,$6.14,6
"Bread - Rolls, Corn",$22.05,28
Basil - Thai,$12.69,24
Beef - Ox Tongue,$14.87,19
Vodka - Smirnoff,$2.81,19
Cabbage - Nappa,$15.21,12
"Crab - Claws, 26 - 30",$1.80,4
Passion Fruit,$9.52,11
Pear - Asian,$20.75,26
Mcguinness - Blue Curacao,$23.78,28
Juice - Ocean Spray Cranberry,$21.99,6
Miso - Soy Bean Paste,$18.28,5
Wine - Ice Wine,$23.91,25
"Potatoes - Yukon Gold, 80 Ct",$12.53,27
Table Cloth 91x91 Colour,$10.24,30
Bread - Italian Sesame Poly,$24.90,6
Apple - Royal Gala,$7.87,21
"Pasta - Penne, Lisce, Dry",$20.72,18
Peppercorns - Pink,$11.04,31
Nutmeg - Ground,$29.28,5
Southern Comfort,$13.64,7
"Crab - Dungeness, Whole, live",$4.29,23
Cleaner - Pine Sol,$13.12,12
Flour - Semolina,$17.13,7
Swiss Chard,$16.90,14
Squid - Tubes / Tenticles 10/20,$6.59,10
Scotch - Queen Anne,$18.66,18
Dome Lid Clear P92008h,$18.01,15
Milk - Buttermilk,$15.45,25
Pectin,$4.82,6
"Salmon - Atlantic, No Skin",$22.45,17
Pork Loin Bine - In Frenched,$12.75,4
Container - Hngd Cll Blk 7x7x3,$29.48,15
Wine - Shiraz Wolf Blass Premium,$22.94,25
"Cod - Salted, Boneless",$5.37,8
"Sauce - Gravy, Au Jus, Mix",$23.96,29
"Cheese - Manchego, Spanish",$26.41,4
Puree - Mocha,$29.59,10
Cocoa Powder - Dutched,$13.73,26
Watercress,$6.71,15
Dill Weed - Fresh,$12.61,2
"Pasta - Fettuccine, Egg, Fresh",$2.97,12
Pastry - Apple Large,$19.81,25
Pie Filling - Pumpkin,$22.34,8
Bread - Raisin Walnut Pull,$17.99,24
Cassis,$17.02,14
"Wine - Harrow Estates, Vidal",$20.75,6
Tomatoes,$24.28,3
"Potatoes - Yukon Gold, 80 Ct",$15.31,24
"Wine - White, Colubia Cresh",$1.17,3
Nougat - Paste / Cream,$29.65,29
Chicken Thigh - Bone Out,$6.95,15
"Sugar - Brown, Individual",$2.39,25
Fondant - Icing,$17.20,9
Cocoa Butter,$14.84,19
Turkey - Oven Roast Breast,$18.52,30
"Bread - Bagels, Plain",$0.08,16
Tuna - Salad Premix,$1.37,23
Sauce - Hoisin,$15.44,15
Gelatine Leaves - Envelopes,$18.00,29
Vinegar - Champagne,$13.21,6
Cardamon Seed / Pod,$0.71,1
Cheese - Gouda,$16.90,3
Lamb Rack - Ontario,$19.23,25
Wine - Pinot Grigio Collavini,$7.34,29
"Pesto - Primerba, Paste",$28.75,30
Grenadine,$10.62,26
Bread - Italian Sesame Poly,$1.72,1
Table Cloth 62x114 White,$25.05,14
Wine - Touraine Azay - Le - Rideau,$19.40,9
"Rum - Light, Captain Morgan",$9.59,26
"Bread - Roll, Calabrese",$9.55,2
Foam Dinner Plate,$3.23,3
Bread - Raisin Walnut Oval,$10.02,6
"Mushrooms - Black, Dried",$22.35,14
Aspic - Light,$20.88,15
Rice - 7 Grain Blend,$8.12,25
Quinoa,$18.97,9
Bouillion - Fish,$8.50,31
"Shrimp - Baby, Warm Water",$5.75,9
Anchovy In Oil,$7.18,25
Table Cloth 62x114 White,$13.55,1
"Pepper - Chipotle, Canned",$12.29,23
"Water - Spring Water, 355 Ml",$29.41,27
Cheese - Cheddarsliced,$2.27,29
Table Cloth 81x81 Colour,$0.63,11
Cheese - Gouda,$26.46,3
Snapple - Iced Tea Peach,$4.44,22
Allspice - Jamaican,$0.47,7
"Wine - Red, Marechal Foch",$4.86,22
Steampan - Half Size Shallow,$15.56,29
"Brandy - Orange, Mc Guiness",$2.10,8
Icecream - Dstk Strw Chseck,$9.99,30
Nantucket Orange Juice,$28.99,21
Grapes - Green,$13.41,15
Tofu - Soft,$20.73,16
Table Cloth 54x72 Colour,$28.81,15
Cookie - Dough Variety,$5.75,18
Wine - Balbach Riverside,$21.26,31
Soup - Boston Clam Chowder,$4.47,12
"Cheese - Brie, Triple Creme",$27.49,29
Wine - Crozes Hermitage E.,$2.07,15
Rosemary - Fresh,$24.64,11
Scallops - 10/20,$20.80,26
Gatorade - Cool Blue Raspberry,$18.07,16
Table Cloth 54x54 Colour,$16.28,18
Petit Baguette,$25.73,18
Canada Dry,$4.50,9
"Sauce - Bernaise, Mix",$5.72,5
Myers Planters Punch,$28.08,31
Lobak,$10.36,4
Wine - Delicato Merlot,$5.04,6
Pork - Inside,$19.91,27
Tuna - Fresh,$5.09,13
Canada Dry,$3.96,20
Container - Foam Dixie 12 Oz,$19.17,13
Sugar - Individual Portions,$5.94,25
"Loaf Pan - 2 Lb, Foil",$15.57,23
Veal - Heart,$16.44,7
Eggwhite Frozen,$28.87,23
Cheese - Ermite Bleu,$14.77,9
Wasabi Paste,$1.02,13
Ginger - Fresh,$21.61,1
Flour - Strong Pizza,$27.32,25
Vodka - Smirnoff,$13.92,31
Guinea Fowl,$25.32,20
Tea - Herbal Orange Spice,$28.31,3
Wine - Delicato Merlot,$23.78,10
"Ecolab - Orange Frc, Cleaner",$24.85,13
"Oil - Food, Lacquer Spray",$15.57,25
Beef - Cow Feet Split,$16.89,19
Wine - Montecillo Rioja Crianza,$11.37,18
Onions - Cooking,$5.67,7
"Oil - Truffle, Black",$3.62,12
Muffin - Blueberry Individual,$17.00,26
Bagel - Everything Presliced,$17.92,26
Compound - Raspberry,$7.29,25
Trout Rainbow Whole,$5.92,25
"Rum - Spiced, Captain Morgan",$23.70,21
Wine - Sogrape Mateus Rose,$19.20,16
Bread - Granary Small Pull,$5.45,7
"Mushroom - Shitake, Dry",$13.09,16
Flour - Rye,$20.28,3
Tea - English Breakfast,$15.26,24
Pastry - Plain Baked Croissant,$4.99,15
Pate - Peppercorn,$12.50,29
Muffin Mix - Banana Nut,$13.97,28
Rabbit - Frozen,$2.60,30
"Salt - Rock, Course",$0.81,2
Pork - Bacon Cooked Slcd,$21.67,17
Tea - Apple Green Tea,$25.50,9
"Beef - Cooked, Corned",$22.13,26
Jam - Apricot,$2.72,20
Versatainer Nc - 888,$28.60,31
Dc - Frozen Momji,$10.25,5
Container - Hngd Cll Blk 7x7x3,$6.81,3
Bread Base - Toscano,$11.79,2
Chinese Foods - Cantonese,$17.87,29
Tilapia - Fillets,$21.11,7
Soup - Chicken And Wild Rice,$27.73,2
Wine - Penfolds Koonuga Hill,$18.00,1
"Flour - Bran, Red",$9.23,16
Bread - Kimel Stick Poly,$4.22,8
Tuna - Yellowfin,$3.33,29
Aspic - Amber,$29.81,27
Mussels - Frozen,$18.45,31
Cumin - Ground,$15.68,2
"Bread - Roll, Soft White Round",$6.38,1
Beer - Muskoka Cream Ale,$28.01,20
Cups 10oz Trans,$26.68,25
Oil - Safflower,$17.80,8
Hersey Shakes,$20.01,6
Wasabi Powder,$0.06,7
Chips Potato Reg 43g,$27.04,6
Spring Roll Veg Mini,$14.37,10
"Wine - White, French Cross",$26.50,26
Beer - Labatt Blue,$7.32,29
Tomato Puree,$28.14,6
"Oregano - Dry, Rubbed",$0.58,5
Chips - Miss Vickies,$18.46,25
Bag Stand,$19.85,5
Brandy - Bar,$16.04,16
Parsley Italian - Fresh,$4.07,22
Ham - Virginia,$5.69,25
Nutmeg - Ground,$0.94,8
Butter Sweet,$0.97,11
Mushroom Morel Fresh,$19.17,11
"Pepper - Black, Whole",$18.21,4
"Beets - Candy Cane, Organic",$22.30,26
Flower - Daisies,$3.84,9
Baking Soda,$12.65,11
Mustard - Seed,$11.28,2
Kiwi,$13.05,12
Chips - Potato Jalapeno,$6.68,25
Cookie Choc,$5.90,18
Puree - Mango,$26.84,27
Beer - Fruli,$5.80,15
Salmon Atl.whole 8 - 10 Lb,$8.01,23
Flavouring - Rum,$4.91,11
Sobe - Berry Energy,$0.74,22
Kiwano,$7.21,6
Sping Loaded Cup Dispenser,$27.08,30
Crab - Meat,$6.35,3
Wine - Chateau Aqueria Tavel,$25.00,28
Carbonated Water - Orange,$27.69,12
Lotus Rootlets - Canned,$14.15,7
"Napkin - Dinner, White",$28.60,31
"Tart Shells - Savory, 3",$23.64,6
Bread - Bistro White,$26.84,16
"Chicken - Base, Ultimate",$21.09,24
Tobasco Sauce,$0.79,9
Pear - Prickly,$8.04,15
Sauce - Ranch Dressing,$16.10,17
Higashimaru Usukuchi Soy,$27.48,22
Lychee - Canned,$15.68,30
Tahini Paste,$17.47,13
Horseradish Root,$2.72,16
Icecream - Dstk Cml And Fdg,$8.79,28
Sour Puss Sour Apple,$1.13,4
Icecream Bar - Del Monte,$12.16,13
Wine - Two Oceans Sauvignon,$26.90,28
"Soup - French Onion, Dry",$8.34,18
Breakfast Quesadillas,$25.20,31
Ice Cream - Strawberry,$20.81,21
Bread Bowl Plain,$19.61,23
Cornish Hen,$27.85,30
Pie Box - Cello Window 2.5,$27.57,12
Hipnotiq Liquor,$3.91,21
Salmon - Sockeye Raw,$22.06,24
Tea - English Breakfast,$25.84,9
"Oranges - Navel, 72",$8.71,27
"Tray - Foam, Square 4 - S",$16.29,18
Oil - Olive,$25.53,12
Asparagus - Mexican,$7.02,21
Wine - Two Oceans Cabernet,$4.07,22
Vinegar - Cider,$9.27,20
Chinese Foods - Pepper Beef,$2.91,7
Soup - Campbells Asian Noodle,$11.82,13
"Tendrils - Baby Pea, Organic",$12.76,6
Cookies - Amaretto,$5.47,16
Jameson - Irish Whiskey,$25.81,19
"Wine - Saint - Bris 2002, Sauv",$7.42,27
Ezy Change Mophandle,$24.86,28
Pepper - Cubanelle,$29.43,6
Muffin Hinge - 211n,$26.71,28
Pepper - Sorrano,$1.30,2
Crackers - Melba Toast,$26.73,24
Flour - Pastry,$15.95,20
Wakami Seaweed,$24.31,2
Longos - Grilled Veg Sandwiches,$17.48,8
Mace,$12.02,1
Pepper - Red Bell,$5.31,26
Bread - Rye,$25.96,26
Nori Sea Weed - Gold Label,$4.83,17
Pate Pans Yellow,$28.15,21
Cheese - Brick With Onion,$17.55,9
"Yeast - Fresh, Fleischman",$15.50,24
Wine - Baron De Rothschild,$15.42,13
Trout - Smoked,$25.83,6
"Lettuce - Romaine, Heart",$3.96,31
Honey - Comb,$12.48,7
"Pork - Bacon, Sliced",$22.70,18
Extract Vanilla Pure,$26.00,29
Dried Cherries,$9.02,9
"Lettuce - Romaine, Heart",$3.90,25
Lumpfish Black,$19.92,23
Ham - Black Forest,$2.37,12
Ecolab Silver Fusion,$29.75,16
"Iced Tea - Lemon, 460 Ml",$12.06,6
Cookies Almond Hazelnut,$6.62,31
Instant Coffee,$4.90,5
Calvados - Boulard,$18.91,4
Flour - Strong,$12.01,14
Bread Crumbs - Panko,$14.84,29
Towels - Paper / Kraft,$21.26,12
"Nut - Peanut, Roasted",$16.87,12
"Lid - 10,12,16 Oz",$24.15,11
Dehydrated Kelp Kombo,$5.29,16
Cheese - Oka,$13.90,3
Table Cloth 54x54 Colour,$0.22,10
Halibut - Fletches,$14.24,27
Grenadillo,$7.89,30
Milk - Condensed,$22.73,26
Bay Leaf,$3.00,16
"Red Snapper - Fresh, Whole",$6.68,11
Chicken - White Meat With Tender,$17.34,18
"Fish - Base, Bouillion",$5.68,2
Apple - Macintosh,$11.82,7
Beer - Muskoka Cream Ale,$19.11,7
"Coke - Classic, 355 Ml",$10.66,13
Nantucket - 518ml,$25.94,19
Veal - Knuckle,$8.27,23
Sauerkraut,$25.15,26
Seabream Whole Farmed,$19.42,4
"Soup - Knorr, Classic Can. Chili",$22.40,22
Mushroom - Lg - Cello,$2.79,2
Cake - Mini Cheesecake,$11.86,8
Apple - Fuji,$5.95,6
Olive - Spread Tapenade,$8.03,7
Table Cloth 91x91 Colour,$13.44,14
Cilantro / Coriander - Fresh,$28.51,18
Yogurt - Assorted Pack,$17.52,15
Appetizer - Mushroom Tart,$7.05,27
Wine - Chateau Aqueria Tavel,$5.34,29
Sword Pick Asst,$27.36,25
Wine - Chenin Blanc K.w.v.,$1.64,3
Veal - Nuckle,$24.67,5
Wine - Rosso Toscano Igt,$17.67,6
Muffin - Carrot Individual Wrap,$0.04,23
Wine - Segura Viudas Aria Brut,$0.47,18
Lid Tray - 12in Dome,$3.31,16
Fondant - Icing,$22.61,18
Cumin - Whole,$1.09,21
Wine - Prem Select Charddonany,$2.69,19
"Lid - High Heat, Super Clear",$11.56,31
Pastry - Plain Baked Croissant,$23.13,31
"Veal - Inside Round / Top, Lean",$16.67,7
Easy Off Oven Cleaner,$20.46,29
Calypso - Black Cherry Lemonade,$21.95,25
"Cheese - Havarti, Salsa",$27.59,9
Cake Sheet Combo Party Pack,$21.23,14
Pasta - Agnolotti - Butternut,$23.30,7
"Soup - Knorr, French Onion",$12.63,28
Onions - White,$29.99,19
Lettuce - Red Leaf,$15.23,22
"Chocolate - Semi Sweet, Calets",$1.97,25
"Shrimp - 21/25, Peel And Deviened",$16.11,21
"Salsify, Organic",$19.89,24
Chocolate Bar - Reese Pieces,$4.64,22
Lamb - Ground,$8.77,3
Wine - Riesling Alsace Ac 2001,$4.20,26
Burger Veggie,$8.42,19
Water - Green Tea Refresher,$2.80,14
"Veal - Tenderloin, Untrimmed",$12.81,1
Sage - Ground,$22.58,10
Sherry - Dry,$16.79,17
Bread - Rye,$15.57,22
Oysters - Smoked,$23.86,18
"Artichoke - Hearts, Canned",$19.47,8
Puree - Pear,$21.94,30
"Olives - Green, Pitted",$20.18,23
Island Oasis - Cappucino Mix,$15.67,15
Bread - Kimel Stick Poly,$12.08,5
Water - Perrier,$5.53,10
Apple - Granny Smith,$20.42,28
Cheese - Victor Et Berthold,$6.09,14
Bread Crumbs - Japanese Style,$14.85,27
Cheese - Shred Cheddar / Mozza,$16.11,4
Mussels - Frozen,$0.79,10
Puree - Guava,$16.67,2
Mangostein,$23.76,22
Soup Campbells Turkey Veg.,$3.61,8
"Doilies - 12, Paper",$29.48,9
"Pasta - Cannelloni, Sheets, Fresh",$10.04,9
"Veal - Brisket, Provimi, Bone - In",$19.29,8
"Mushroom - Shitake, Fresh",$16.23,28
"Pasta - Tortellini, Fresh",$26.37,10
Rabbit - Whole,$21.98,25
Cabbage Roll,$5.44,25
Cloves - Whole,$17.79,24
Sauce - Hoisin,$18.56,3
Cheese - La Sauvagine,$15.13,21
Energy Drink Red Bull,$23.86,28
Chips - Potato Jalapeno,$19.25,16
Wine - Redchard Merritt,$27.51,28
Pastry - Carrot Muffin - Mini,$2.19,5
Clams - Canned,$24.37,13
Mushroom - Morel Frozen,$3.90,12
Coffee - Egg Nog Capuccino,$28.83,11
Bandage - Fexible 1x3,$29.96,10
Pimento - Canned,$9.49,18
Turnip - Wax,$17.05,30
Country Roll,$7.93,27
Liquid Aminios Acid - Braggs,$27.55,1
Dc - Sakura Fu,$16.01,9
Wine - Sauvignon Blanc Oyster,$20.59,1
"Wine - Red, Antinori Santa",$15.39,16
Bar - Granola Trail Mix Fruit Nut,$10.64,27
Sobe - Orange Carrot,$20.65,8
Shrimp - Prawn,$8.93,3
Wine - Chateau Aqueria Tavel,$11.31,3
"Soup - Canadian Pea, Dry Mix",$2.11,16
Soy Protein,$21.07,17
Paper Towel Touchless,$18.11,26
Sauce - Hoisin,$14.35,17
Cheese - St. Andre,$13.31,28
Beef - Top Butt,$9.82,2
"Lemonade - Island Tea, 591 Ml",$12.27,17
Bread - Ciabatta Buns,$13.13,23
Banana Turning,$22.93,17
Chocolate Bar - Oh Henry,$13.26,28
Wine - Sawmill Creek Autumn,$22.53,4
"Juice - Clamato, 341 Ml",$15.57,30
Puff Pastry - Sheets,$6.95,19
Thyme - Fresh,$20.51,13
Sauce - Sesame Thai Dressing,$17.73,8
"Oil - Olive, Extra Virgin",$5.60,24
"Wine - White, Chardonnay",$5.92,13
Campari,$13.71,13
Sole - Fillet,$11.62,9
Propel Sport Drink,$18.87,22
Pork Salted Bellies,$13.17,24
Nantucket - 518ml,$1.23,21
Shopper Bag - S - 4,$5.33,16
Bread - Sour Sticks With Onion,$16.97,13
Sultanas,$17.97,1
"Stock - Beef, White",$15.64,22
Ice Cream - Strawberry,$8.73,2
Wine - Kwv Chenin Blanc South,$16.95,18
"Iced Tea - Lemon, 460 Ml",$29.70,21
Extract - Rum,$9.86,16
"Yogurt - Peach, 175 Gr",$6.48,13
Cookies - Assorted,$12.18,5
Cloves - Whole,$8.97,29
Beef - Ox Tongue,$7.52,25
Hold Up Tool Storage Rack,$15.64,18
Scallops - In Shell,$22.07,8
"Olives - Green, Pitted",$9.80,22
Cheese - Grana Padano,$19.12,12
Chocolate - Milk,$16.98,10
"Nut - Hazelnut, Ground, Natural",$20.48,11
Pickles - Gherkins,$11.02,25
Bread - Bistro White,$12.60,9
Nantucket - Kiwi Berry Cktl.,$14.38,27
Pork - Smoked Kassler,$5.06,3
Venison - Striploin,$24.77,3
"Pepper - Black, Whole",$27.34,3
Rabbit - Whole,$6.36,21
Coffee - Dark Roast,$6.04,31
"Cookies - Oreo, 4 Pack",$10.61,10
Sobe - Berry Energy,$10.64,16
Tuna - Sushi Grade,$25.54,5
Cookies - Englishbay Oatmeal,$20.27,28
"Pineapple - Canned, Rings",$16.31,21
"Crush - Grape, 355 Ml",$6.62,9
Barley - Pearl,$18.24,18
Nectarines,$22.26,20
Chervil - Fresh,$17.02,24
Bamboo Shoots - Sliced,$17.13,27
Wine - Zonnebloem Pinotage,$20.03,24
Pate Pans Yellow,$0.65,15
"Soup - Canadian Pea, Dry Mix",$2.19,3
Vinegar - Cider,$28.71,16
Potatoes - Idaho 100 Count,$16.00,1
Truffle - Whole Black Peeled,$3.66,9
Pork Salted Bellies,$8.28,1
"Juice - Grapefruit, 341 Ml",$26.36,8
Lady Fingers,$8.42,20
"Basil - Primerba, Paste",$13.24,17
Wine - Ej Gallo Sierra Valley,$26.90,18
Sorrel - Fresh,$26.26,23
Wine - Periguita Fonseca,$0.11,7
Wine - Stoneliegh Sauvignon,$0.57,19
"Gingerale - Schweppes, 355 Ml",$10.72,29
"Stock - Chicken, White",$6.44,19
Wine - Chateau Timberlay,$5.69,7
"Soup - Knorr, Country Bean",$23.69,27
Mustard - Individual Pkg,$17.70,20
Sponge Cake Mix - Vanilla,$3.37,7
Food Colouring - Pink,$3.14,18
"Lettuce - Romaine, Heart",$9.69,23
Table Cloth 62x120 White,$18.77,18
"Salmon - Whole, 4 - 6 Pounds",$29.88,10
Chips Potato Reg 43g,$16.40,1
Molasses - Fancy,$5.70,2
Snapple Lemon Tea,$4.29,10
"Apple - Delicious, Red",$24.27,14
Ginger - Pickled,$29.20,17
"Croissant, Raw - Mini",$12.55,3
Gloves - Goldtouch Disposable,$0.05,4
Oil - Macadamia,$9.42,25
Chicken - Base,$29.08,25
Southern Comfort,$4.90,2
"Crush - Orange, 355ml",$2.83,21
Chicken - Whole,$15.35,3
"Mushroom - Oyster, Fresh",$3.33,8
Wine - Jafflin Bourgongone,$21.21,7
Tarragon - Fresh,$6.03,16
Shortbread - Cookie Crumbs,$2.18,4
Pork Loin Cutlets,$29.21,25
Muffin Orange Individual,$10.43,15
Lentils - Green Le Puy,$1.45,1
"Wine - White, Mosel Gold",$11.30,21
Veal - Bones,$3.88,8
Blouse / Shirt / Sweater,$19.00,25
Wine - Winzer Krems Gruner,$9.84,20
Icecream - Dstk Cml And Fdg,$17.32,1
Egg Patty Fried,$27.85,30
Pork - Smoked Back Bacon,$1.29,27
Kaffir Lime Leaves,$8.88,7
Water - San Pellegrino,$10.51,2
"Soup - Knorr, Veg / Beef",$27.53,9
Mix - Cocktail Strawberry Daiquiri,$25.95,4
"Cheese - Havarti, Salsa",$4.22,23
"Bread - Multigrain, Loaf",$22.05,11
Dill Weed - Fresh,$16.63,27
Langers - Mango Nectar,$2.35,30
Tofu - Firm,$1.87,31
Tea - Mint,$11.19,21
"Veal - Tenderloin, Untrimmed",$9.18,30
Frangelico,$24.03,10
"Rum - Dark, Bacardi, Black",$10.93,27
Tea - Orange Pekoe,$8.71,17
Mousse - Banana Chocolate,$7.61,18
Container - Hngd Cll Blk 7x7x3,$7.19,27
Tea - Lemon Scented,$22.27,4
"Rice Pilaf, Dry,package",$21.03,21
Lobster - Cooked,$17.72,21
"Olives - Black, Pitted",$16.16,20
Sprite - 355 Ml,$11.66,22
"Yogurt - Banana, 175 Gr",$23.32,28
"Wine - Red, Gamay Noir",$18.41,12
Chip - Potato Dill Pickle,$10.26,4
"Crush - Orange, 355ml",$29.95,24
Lettuce - Escarole,$28.19,13
Rosemary - Fresh,$17.96,10
